url,year,title,author,date,file_path
https://www.federalreserve.gov/newsevents/speech/files/powell20170107a.pdf,2017,Low Interest Rates and the Financial System,Governor Jerome H. Powell,2017-01-07,2017\Low Interest Rates and the Financial System_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/brainard20170117a.pdf,2017,Monetary Policy in a Time of Uncertainty,Governor Lael Brainard,2017-01-17,2017\Monetary Policy in a Time of Uncertainty_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/yellen20170118a.pdf,2017,The Goals of Monetary Policy and How We Pursue Them,Chair Janet L. Yellen,2017-01-18,2017\The Goals of Monetary Policy and How We Pursue The_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/yellen20170119a.pdf,2017,The Economic Outlook and the Conduct of Monetary Policy,Chair Janet L. Yellen,2017-01-19,2017\The Economic Outlook and the Conduct of Monetary P_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/fischer20170211a.pdf,2017,"""I'd Rather Have Bob Solow Than an Econometric Model, But ...""",Vice Chairman Stanley Fischer,2017-02-11,2017\I'd Rather Have Bob Solow Than an Econometric Mode_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/powell20170222a.pdf,2017,The Economic Outlook and Monetary Policy,Governor Jerome H. Powell,2017-02-22,2017\The Economic Outlook and Monetary Policy_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/brainard20170301a.pdf,2017,Transitions in the Outlook and Monetary Policy,Governor Lael Brainard,2017-03-01,2017\Transitions in the Outlook and Monetary Policy_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/yellen20170303a.pdf,2017,From Adding Accommodation to Scaling It Back,Chair Janet L. Yellen,2017-03-03,2017\From Adding Accommodation to Scaling It Back_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/powell20170328a.pdf,2017,America's Central Bank: The History and Structure of the Federal Reserve,Governor Jerome H. Powell,2017-03-28,2017\America's Central Bank The History and Structure o_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/yellen20170328a.pdf,2017,Addressing Workforce Development Challenges in Low-Income Communities,Chair Janet L. Yellen,2017-03-28,2017\Addressing Workforce Development Challenges in Low_2017.pdf
