name,title
Jerome H. Powell,Chair
Christopher J. Waller,Governor
Michael S. Barr,Governor
Michelle W. Bowman,Governor
Lisa D. Cook,Governor
Philip N. Jefferson,Governor
Adriana D. Kugler,Governor
John C. Williams,NewYork
Thomas I. Barkin,Richmond
Raphael W. Bostic,Atlanta
Mary C. Daly,SanFrancisco
Loretta J. Mester,Cleveland
Susan M. Collins,Boston
Austan D. Goolsbee,Chicago
Jeffrey R. Schmid,Kansas City
Alberto G. Musalem,St. Lous
Lorie K. Logan,Dallas
Patrick T. Harker,Philadelphia
Neel Kashkari,Minneapolis
